Paragraph	Question	Options	Labels 	Phenomena
  //Sent 1: Physical properties include the state of matter. //Sent 2: We know these states as solid, liquid, or gas. //Sent 3: Properties can also include color and odor. //Sent 4: For example, oxygen is a gas. //Sent 5: It is a major part of the air we breathe. //Sent 6: It is colorless and odorless. //Sent 7: Chlorine is also a gas. //Sent 8: In contrast to oxygen, chlorine is greenish in color. //Sent 9: It has a strong, sharp odor. //Sent 10: Have you ever smelled cleaning products used around your home? //Sent 11: If so, you have probably smelled chlorine. //Sent 12: Another place you might smell chlorine is at a public swimming pool. //Sent 13: The chlorine is used to kill bacteria that may grow in the water. //Sent 14: Other physical properties include hardness, freezing, and boiling points. //Sent 15: Some substances have the ability to dissolve in other substances. //Sent 16: Some substances cannot be dissolved. //Sent 17: For example, salt easily dissolves in water. //Sent 18: Oil does not dissolve in water.	Name the three states of matter and give and name a gas that is in the air we breath to stay alive.	liquid  // solid  // gas  // oxygen  // nitrogen  // matter  // Chlorine  	1,1,1,1,0,0,0	Coref,Common
	What do physical properties include?	melting temperature  // color and odor  // state of matter  // boiling point  // chemical structure  // chemical bonding  	1,1,1,1,0,0	List,Coref,Lex
	What are the physical properties of matter?	boiling point  // solid, liquid or gas  // freezing  // state of matter, color and odor  // chemical bonding  	1,1,1,1,0	Coref,Common,List
	Where would you find Chlorine?	swimming pool  // in cleaning products, swimming pools  // cleaning products  // in pool  // in air  	1,1,1,1,0	Coref,Common,Lex
	Where are two places one could use chlorine?	swimming pool  // cleaning products  // public swimming pool and cleaning products  // It can be used for cleaning home or swimming pools.  // in atmosphere  // in air  	1,1,1,1,0,0	Coref,Lex
	What are the physical properties of matter, and how many primary states are there for matter?	Physical properties of matter are also known as states of matter , which there are 3.  // solid liquid and gas  // 3 states  // solid and gas  	1,1,1,0	Coref,Math,List
	What are some secondary properties of matter?	smell and hardness.  // color and odor  // color and chemical bonding  	1,1,0	Coref,List,Common
	give 1 example of matter that can be dissolved in water and one example of matter that will not.	oil cannot be dissolved in water  // salt can be dissolved in water  // sand and oil  	1,1,0	Lex,Common
	Which gas is found in cleaning products?	Chlorine  // oxygen  	1,0	Lex,Coref,Common
	Which of the mentioned physical states most likely lack the property of hardness?	liquid and gas  // Gas and Liquid  // solid and gas  	1,1,0	List,Common

 //Sent 1: Most young mammals, including humans, like to play. //Sent 2: Play is one way they learn the skills that they will need as adults. //Sent 3: Think about how kittens play. //Sent 4: They pounce on toys and chase each other. //Sent 5: This helps them learn how to be better predators. //Sent 6: Big cats also play. //Sent 7: The lion cubs pictured below are playing. //Sent 8: At the same time, they are also practicing their hunting skills (Figure 3.2). //Sent 9: The dogs are playing tug-of-war with a toy (Figure 3.2). //Sent 10: What do you think they are learning by playing together this way? //Sent 11: Human children learn by playing as well. //Sent 12: For example, playing games and sports can help them learn to follow rules. //Sent 13: They also learn to work together. //Sent 14: The young child pictured below is playing in the sand (Figure 3.3). //Sent 15: She is learning about the world through play. //Sent 16: What do you think she might be learning?	What do human children learn by playing games and sports?	to follow rules  // They learn to follow rules and work together.  // They learn about the world  // Learn to work together  // skills that they will need as adult  // they learn about how to cheat  // how to hunt  // tug-of-war  // only learns to follow rules  // only learns working together  // hunting skills  	1,1,1,1,1,0,1,0,0,0,0	Lex,Coref
	What do lion cubs learn through play?	how to hunt for other humans children.  // they practice their hunting skills  // how to be better predators  // how to be better victims  // living with animals  // how to follow rules  // help other animals  // loving each other  // saving the world // giving back to the society  	0,1,1,0,0,0,0,0,0,0	Coref,Common
	What do kittens learn as they play?	how to pounce //  This helps them learn how to be better predators. // to be a good predator  // how to be better predators  // how to purr  // how to play tug of war  	 1,1,1,1,0,0	Coref
	What is one way mammals learn the skills they will need as adults?	 through play  // thruogh playing piano //   at school  //  pounce on toys  // when they sleep //  bar-fighting //   by eating  	1,0,0,0,0,0,0	Coref
	What helps kittens to learn to be better predators?	pouncing on toys  // playing  // chasing each other  // wandering  // playing with dogs  // classes // playing tug-of-war  	1,1,1,0,0,0,0	Coref
	Lion cubs play to learn how to do what?	to learn to hunt  // how to do hunting when they growup  // to follow rules  // to find water  // to work together  // to find mates  	1,1,0,0,0,0	Common,Coref,Lex
	What are two things that kids can learn by playing with each other?	 They learn to follow rules and to work together.  // how to cheat and work together  // how to work together and how to hunt  // how to fight  // playing games and sports  // how to spend time  	1,0,0,0,0,0	Coref,Lex
	What are some ways animals play?	pouncing on toys  // tug of war  // chasing each other  // to follow rules  // wander around  // to work together  // leapfrog and hopscotch, stampedes  // fight  	1,1,1,0,0,0,0,0	Common,Coref
	How does the play of a cat and a dog differ?	Cats often play chase while dogs like to play tug of war with toys.  // Cats pounce on toys and dogs play tug-of-war  // Cats play tug-of-war and dogs pounce on toys  // Cats fight and dogs chase  	0,1,0,0	Coref,Common
	Which animal is mentioned to learn about working together through play when young?	Humans  // lion cubs  // dogs  // cats  	1,0,0,0	Coref,Common
	What do human children do to learn?	playing with eachother  // playing in the sand  // They play games and sports, which helps them learn to follow rules and work together.  // playing games and sports  // follow rules  // sleep  // play- tug -of-war  // fighting  // killing  	1,1,1,1,0,0,0,0,0	Coref,List
